language,task,technique,ratio,seed,spearman,pearson,n_selected
gl,all_words_from_category_2_distractors,difficulty_stratified,0.01,42,0.9792549667775365,0.9928122524386145,30
gl,more_letters,difficulty_stratified,0.01,42,0.9775851423521154,0.9854178706482521,30
gl,all_words_from_category_1_distractors,difficulty_stratified,0.01,42,0.9775063465079212,0.9886334756295613,30
gl,more_letters_length_diff_1,difficulty_stratified,0.01,42,0.9753397652961999,0.9806517527618316,30
gl,sentence_not_containing,difficulty_stratified,0.01,42,0.969192572327114,0.9820400690598952,30
gl,first_letter,difficulty_stratified,0.01,42,0.9679285327255569,0.9763987373605854,30
gl,more_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9670085451500474,0.9825867093536762,30
gl,bigger_number,difficulty_stratified,0.01,42,0.9667068120493139,0.9801713998482039,30
gl,smaller_number,difficulty_stratified,0.01,42,0.9665207420487931,0.984540346414569,30
gl,last_word,difficulty_easy,0.02,42,0.9658463539475849,0.9048889737721215,60
gl,last_letter,difficulty_easy,0.02,42,0.9609917087545552,0.9407288075935458,60
gl,all_words_from_category_0_distractors,difficulty_stratified,0.01,42,0.9606361528174805,0.9794491837203613,30
gl,any_words_from_category_4_distractors,difficulty_stratified,0.01,42,0.9606025802476963,0.9807125491434581,30
gl,less_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.957118174603648,0.9669548920484776,30
gl,rhyming_word_orthographically_similar,difficulty_easy,0.01,42,0.9550671634474497,0.911129416676989,30
gl,any_words_from_category_5_distractors,difficulty_mid,0.01,42,0.9526688737423683,0.9578072090080656,30
gl,any_words_from_category_3_distractors,difficulty_stratified,0.01,42,0.9522354386268077,0.9654704617745115,30
gl,less_letters_length_diff_1,difficulty_stratified,0.01,42,0.9493689699202084,0.9522346296868356,30
gl,word_containing,difficulty_mid,0.1,42,0.9478891732878771,0.9468662849718184,8
gl,rhyming_word,difficulty_stratified,0.01,42,0.9463656881403321,0.9496729066219811,30
gl,first_word,difficulty_stratified,0.01,42,0.9456317034641457,0.9741422716710466,30
gl,ends_with_word,difficulty_stratified,0.01,42,0.9389418110416379,0.9739191709519845,28
gl,less_letters,difficulty_stratified,0.01,42,0.9311669870584364,0.950330781145279,30
gl,word_before,difficulty_mid,0.03,42,0.9297565494077034,0.9597739809679146,90
gl,word_not_containing,difficulty_stratified,0.07,42,0.9297215344541223,0.930990173684801,5
gl,first_alphabetically_same_first_letter,difficulty_stratified,0.02,42,0.9239133244348154,0.9427622108868416,60
gl,least_associated_word,difficulty_stratified,0.02,42,0.9220311584066134,0.9849429754295362,60
gl,sentence_containing,difficulty_stratified,0.05,42,0.921118555869359,0.9576316816732551,150
gl,all_words_from_category,difficulty_stratified,0.02,42,0.9206807320164732,0.9685122991065706,60
gl,starts_with_word,difficulty_mid,0.03,42,0.9201696193489983,0.9028136194643166,16
gl,word_after,difficulty_stratified,0.03,42,0.9185454240655728,0.9917132694784321,90
gl,first_alphabetically,difficulty_stratified,0.01,42,0.9142599366097865,0.9189670043661973,30
gl,any_words_from_category,difficulty_stratified,0.01,42,0.9101397200263726,0.9655217783565206,30
gl,ends_with_letter,difficulty_stratified,0.2,42,0.9076830904839712,0.9264825777415164,6
gl,starts_with_letter,difficulty_mid,0.1,42,0.9075696987663759,0.9115887450780912,6
gl,first_alphabetically_far_first_letter,difficulty_stratified,0.01,42,0.9029686209750012,0.9260953192757485,30
gl,most_associated_word,difficulty_stratified,0.01,42,0.9023888695774759,0.9444332720519324,30
gl,first_alphabetically_consecutive_first_letter,difficulty_stratified,0.01,42,0.9021028894328305,0.9240463308450244,30
gl,first_alphabetically_different_first_letter,difficulty_stratified,0.01,42,0.9010077220422654,0.9070568004995472,30
gl,homophones,difficulty_easy,0.02,42,0.9005951080399314,0.9146619518450423,15
