language,task,model,example_id,input,prediction,regex_scorer,human_label
en,all_words_from_category_0_distractors,Qwen2_5-3B-Instruct,351,"Are all the words ""armchair"", ""chair"", ""bed"", ""sofa"", and ""desk"" types of furniture? Answer either ""yes"" or ""no"".",yes,1,1
en,word_before,Qwen2_5-1_5B-Instruct,1320,"In the sentence ""She fell in love"", which word immediately precedes the word ""in""?",^,0,0
en,smaller_number,salamandra-2b-instruct,2522,"From the numbers 864 and 400, write the smaller number:",The smaller number is 400.,1,1
en,less_letters,gemma-3-1b,1275,"Which word is shorter, ""fried"" or ""around""?",“Fried” is shorter.,0,1
en,most_associated_word,Llama-3_2-3B-Instruct,1559,"What is the word most related to the word ""vehicles"" from the words ""peach"", ""bus"", ""watermelon"", ""lemon"", and ""pineapple""?","The word most related to ""vehicles"" from the given options is ""bus"".",1,1
en,homophones,Qwen2_5-1_5B-Instruct,1805,"Which is a homophone of the word ""sensor"", ""censor"" or ""detector""?","The homophone of the word ""sensor"" is ""siren"".",0,0
en,first_alphabetically_consecutive_first_letter,gemma-3-4b,2362,"Of the words ""screen"" and ""rat"", which word comes first alphabetically?",Screen,0,0
en,rhyming_word_orthographically_similar,gemma-3-1b,2756,"Of the words ""crop"" and ""plane"", which one rhymes with ""champagne""?",Plane,1,1
en,any_words_from_category_3_distractors,Llama-3_2-3B-Instruct,1006,"Do any of the words ""desk"", ""bookcase"", ""jeans"", ""pig"", and ""jacket"" represent furniture? Answer either ""yes"" or ""no"".",(desk and bookcase),0,1
en,any_words_from_category_3_distractors,SmolLM2-360M-Instruct,1802,"Do any of the words ""socks"", ""lemon"", ""pig"", ""watermelon"", and ""chicken"" represent animals? Answer either ""yes"" or ""no"".",.,0,0
en,all_words_from_category,EuroLLM-1_7B-Instruct,1788,"Do the words ""jeans"", ""shirt"", ""shorts"", ""socks"", and ""strawberry"" all represent items of clothing? Answer either ""yes"" or ""no"".","Yes, the words ""jeans"", ""shirt"", ""shorts"", ""socks"", and ""strawberry"" all represent items of clothing.",0,0
en,homophones,gemma-3-4b,877,"Of the two words ""blew"" and ""red"", which one sounds more like ""blue""?","Red. 

They share a similar vowel sound.",0,0
en,first_alphabetically,Qwen2_5-3B-Instruct,2275,"Of the words ""deep"" and ""upset"", which word comes first alphabetically?",Deep,1,1
en,more_letters_length_diff_3plus,Llama-3_1-8B-Instruct,1062,"Which word is longer, ""to"" or ""jeans""?","""Jeans"" is longer than ""to"".",1,1
en,rhyming_word_orthographically_similar,ZharfaOpen-0309,522,"Which word rhymes with the word ""rain"", ""complain"" or ""chef""?","The word that rhymes with ""rain"" is ""dain"". The word that rhymes with ""complain"" is ""pain"".",0,0
en,word_containing,Llama-3_1-8B-Instruct,39,"Write a word using the letter ""m"":",Moon.,1,1
en,rhyming_word,Llama-3_2-3B-Instruct,2358,"Of the words ""remove"" and ""rich"", which one rhymes with ""switch""?","(remove) rhymes with ""switch"".",0,0
en,any_words_from_category_5_distractors,EuroLLM-1_7B-Instruct,808,"Are any of the words ""motorcycle"", ""sweater"", ""tram"", ""bookcase"", and ""watermelon"" types of animals? Answer either ""yes"" or ""no"".","No, ""motorcycle"", ""sweater"", ""tram"", ""bookcase"", and ""watermelon"" are not types of animals.",1,1
en,all_words_from_category_0_distractors,gemma-3-4b,2995,"Does the list [""skirt"", ""sweater"", ""dress"", ""jeans"", ""shorts""] contain only items of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,ends_with_letter,ZharfaOpen-0309,30,"Write a word whose last letter is ""g"":",گربه,0,0
en,any_words_from_category_5_distractors,Qwen2_5-3B-Instruct,2720,"Does the list [""pants"", ""armchair"", ""sofa"", ""couch"", ""cat""] contain any vehicles? Answer either ""yes"" or ""no"".","sno
No",0,1
en,any_words_from_category_3_distractors,gemma-3-1b,2213,"Does the list [""apple"", ""shirt"", ""jeans"", ""fish"", ""car""] contain any items of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,rhyming_word_orthographically_similar,SmolLM2-360M-Instruct,1813,"Which is a rhyme of the word ""allow"", ""how"" or ""railroad""?",.,0,0
en,any_words_from_category_3_distractors,Llama-3_1-8B-Instruct,2593,"Does the list [""melon"", ""tractor"", ""socks"", ""bookcase"", ""motorcycle""] contain any vehicles? Answer either ""yes"" or ""no"".","in the list [""melon"", ""tractor"", ""socks"", ""bookcase"", ""motorcycle""] contains vehicles.",0,0
en,starts_with_word,gemma-3-1b,893,"Write a sentence that starts with the word ""taking"":","Taking a deep breath, I felt a sense of calm.",1,1
en,first_alphabetically,salamandra-2b-instruct,1136,"In an alphabetical order, which word comes first, ""lend"" or ""short""?",ustamata,0,0
en,most_associated_word,EuroLLM-1_7B-Instruct,1642,"What is the word most related to the word ""clothes"" from the words ""coat"", ""bed"", ""desk"", ""chair"", and ""bookcase""?","The word most related to the word ""clothes"" from the words ""coat"", ""bed"", ""desk"", ""chair"", and ""bookcase",0,0
en,more_letters,SmolLM2-1_7B-Instruct,2898,"Of the words ""strong"" and ""often"" which one has more letters?",at,0,0
en,any_words_from_category,Llama-3_2-3B-Instruct,1212,"Do any of the words ""socks"", ""chicken"", ""rabbit"", ""cow"", and ""bed"" represent furniture? Answer either ""yes"" or ""no"".",(no),0,0
en,least_associated_word,salamandra-2b-instruct,963,"Of the words ""skirt"", ""coat"", ""shorts"", ""bookcase"", and ""socks"", what is the word least associated with ""clothes""?","The word that comes to mind when thinking about clothes, 1) not wearing them or 2) being dirty is socks. So, in this case",0,0
en,word_after,ZharfaOpen-0309,2670,"Which word comes right after ""the"" in the sentence ""Jason expected Medea to be treated by the doctor""?","The word that comes right after ""the"" in the sentence ""Jason expected Medea to be treated by the doctor"" is ""doctor"".",1,1
en,more_letters_length_diff_1,Qwen2_5-3B-Instruct,1434,"Which word is longer, ""garlic"" or ""computer""?","""Computer"" is longer than ""garlic.""",1,1
en,rhyming_word,ZharfaOpen-0309,1998,"Which is a rhyme of the word ""wrong"", ""sail"" or ""along""?","""wrong"" is a rhyme of the word ""wrong"".",0,0
en,first_word,Qwen2_5-3B-Instruct,1847,"In the sentence ""We investigated the area for bombs"", what is the first word?","suggested answer: The first word in the sentence ""We investigated the area for bombs"" is ""We"".",1,1
en,sentence_containing,SmolLM2-1_7B-Instruct,789,"Write a sentence that contains the word ""insect"":","Insects are small creatures that live in the air, on land, or in water.",0,0
en,bigger_number,gemma-3-4b,1957,"Of the numbers 525 and 898, which is bigger?",898 is bigger.,1,1
en,rhyming_word_orthographically_similar,Llama-3_2-3B-Instruct,355,"Which word rhymes with the word ""land"", ""band"" or ""dull""?","(1) ""hand""
 (2) ""stand""
 (3) ""ball""",0,0
en,sentence_not_containing,SmolLM2-1_7B-Instruct,985,"Write a sentence that doesn't contain the word ""supper"":","After dinner, we went to the park.",1,1
en,last_word,Llama-3_1-8B-Instruct,190,"What is the last word of the sentence ""He ought to leave his luggage here""?",in here,0,0
en,starts_with_letter,SmolLM2-360M-Instruct,6,"Write a word that starts with the letter ""f"":",Fiction,1,1
en,sentence_not_containing,Llama-3_2-3B-Instruct,1905,"Write a sentence without using the word ""comfortable"":","She sat in the plush armchair, feeling relaxed and at ease after a long, warm bath.",1,1
en,all_words_from_category_0_distractors,Llama-3_2-3B-Instruct,1742,"Do the words ""banana"", ""lemon"", ""pineapple"", ""watermelon"", and ""peach"" all represent fruit? Answer either ""yes"" or ""no"".",(yes),1,1
en,all_words_from_category_0_distractors,Llama-3_1-8B-Instruct,899,"Are all the words ""armchair"", ""bookcase"", ""table"", ""bed"", and ""sofa"" types of furniture? Answer either ""yes"" or ""no"".",Yes.,1,1
en,first_alphabetically_consecutive_first_letter,EuroLLM-1_7B-Instruct,732,"In an alphabetical order, which of the words ""complete"" and ""believe"" comes first?","The word ""complete"" comes first in an alphabetical order.",0,0
en,first_alphabetically_different_first_letter,SmolLM2-1_7B-Instruct,2087,"Of the words ""railroad"" and ""opposite"", which word comes first alphabetically?","""opposite"" comes first alphabetically.",1,1
