language,model,input,prediction,regex_scorer,human_label,judge_Qwen_Qwen2_5_7B_Instruct,judge_google_gemma_2_2b_it,judge_microsoft_Phi_3_mini_4k_instruct,judge_meta_llama_Llama_3_1_8B_Instruct
fa,SmolLM2-1_7B-Instruct,"آخرین کلمهٔ جملهٔ ""به حضار اعلام کرد که بزودی ازدواج خواهد کرد"" چیست؟","آخرین کلمهٔ جملهٔ ""به حضار ا",0,0,0,0,1,0
fa,Llama-3_2-3B-Instruct,کلمه‌ای بنویس با استفاده از حرف «د»,دست,1,1,1,1,1,1
fa,EuroLLM-1_7B-Instruct,"آیا همه کلمات ""دریل"", ""اره"", ""قیچی"", ""داس"" و ""تراز"" نشان‌دهنده ابزارها هستند؟ به «بله» یا «خیر» پاسخ دهید.","بیشتری کلمات ""دریل"", ""اره"", ""قیچی"", ""داس"" و ""تراز""",0,0,0,0,0,0
fa,Llama-3_1-8B-Instruct,"به ترتیب حروف الفبا، کدام یک از کلمات ""لمسیدن"" و ""آشکار"" اول می‌آید؟","in ""لمسیدن"" حرف ""ل"" و در ""آشکار"" حرف ""ا"" اول می‌آید.",0,0,0,1,1,0
fa,SmolLM2-1_7B-Instruct,"آیا هیچ یک از کلمات ""مقنعه"", ""سرمایه"", ""حجم"", ""ماجراجویی"" و ""کراوات"" از نوع زندگی هستند؟ با «بله» یا «خیر» پاسخ دهید.",بله.,0,0,0,0,1,0
fa,ZharfaOpen-0309,"یک جمله بنویس که کلمه ""پیاده‌روی"" را نداشته باشد",امروز برای تمرین کردن پیاده‌روی,0,0,0,0,0,0
fa,gemma-3-4b,"کلمه ""کوهستان"" با کدام حرف شروع می‌شود؟",ک,1,1,1,1,0,1
fa,ZharfaOpen-0309,"به ترتیب حروف الفبا، کدام یک از کلمات ""عبا"" و ""خوشحال"" اول می‌آید؟",خوشحال,1,1,0,0,1,0
fa,SmolLM2-360M-Instruct,"کدام کلمه کوتاه‌تر است، ""کاهش"" یا ""لغزیدن""؟",یک دستیار مفید هستید. کوتاه و در,0,0,0,0,0,0
fa,salamandra-2b-instruct,"آیا هیچ یک از کلمات ""اتو"", ""سالمند"", ""استودیو"", ""نظام"" و ""صفت"" نشان دهنده دسته‌های دستوری هستند؟ با «بله» یا «خیر» پاسخ دهید.",ustamata,0,0,0,0,0,0
fa,SmolLM2-1_7B-Instruct,"از بین کلمات ""خانه"", ""دوازده"", ""تخت"", ""درب"" و ""پنجره""، کدام کلمه کمترین ارتباط را با ""خانه"" دارد؟","""خانه"" در حقیقت در حلقه های زیر",0,0,0,0,1,0
fa,salamandra-2b-instruct,"آخرین حرف کلمه ""ارتفاع"" را بنویسید",ustamata,0,0,0,0,0,0
fa,Llama-3_2-3B-Instruct,"در جمله ""جعبه آنقدر سنگین بود که حتی نتوانستم آنرا یک اینچ حرکت بدهم"" کدام کلمه درست قبل از ""حتی"" آمده است؟","در این جمله کلمه ""نتوانستم"" درست قبل از ""حتی"" آمده است.",0,0,1,1,1,1
fa,Llama-3_2-3B-Instruct,"کلمه ای بنویسید که به حرف ""غ"" ختم شود",غذا,0,0,1,1,1,1
fa,SmolLM2-360M-Instruct,"اولین کلمهٔ جملهٔ ""خلاصهای از این داستان را بنویسید"" چیست؟","اولین کلمهٔ جملهٔ ""خلاصهای ا",0,0,0,0,1,0
fa,Llama-3_1-8B-Instruct,"آیا لیست [""پدربزرگ"", ""ژاکت"", ""هاکی"", ""زرشکی"", ""قهوه‌ای""] شامل هیچ رنگ‌ها است؟ با «بله» یا «خیر» پاسخ دهید",inخیر,0,0,0,1,0,0
fa,EuroLLM-1_7B-Instruct,"یک جمله بنویس که شامل کلمه ""پروانه"" نباشد",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,1,0,0,0,0,0
fa,SmolLM2-360M-Instruct,"یک جمله بدون استفاده از کلمه ""خط‌کش"" بنویس","یک جمله بدون استفاده از کلمه ""خ",1,0,0,0,1,0
fa,salamandra-2b-instruct,"آیا هیچ یک از کلمات ""بیلیارد"", ""یوگا"", ""اسنوبورد"", ""کاپشن"" و ""آموزشگاه"" از نوع سازها هستند؟ با «بله» یا «خیر» پاسخ دهید.",ustamata,0,0,0,0,0,0
fa,Qwen2_5-3B-Instruct,"از بین کلمات ""کولر"" و ""دریاچه"" کدام یک حروف بیشتری دارد؟",کولر,0,0,0,0,1,0
fa,ZharfaOpen-0309,کلمه‌ای بنویس با استفاده از حرف «ق»,قلم.,1,1,1,1,1,1
fa,gemma-3-1b,"از بین کلمات ""فروشگاه"" و ""گونه"" کدام یک حروف کمتری دارد؟","""فروشگاه""",0,0,0,1,0,0
fa,Llama-3_1-8B-Instruct,"آیا هیچ یک از کلمات ""اقتصادی"", ""چشم"", ""تراز"", ""بیل"" و ""جلو"" از نوع ابزارها هستند؟ با «بله» یا «خیر» پاسخ دهید.","in ""بیل"" از نوع ابزارها است.",0,0,0,0,1,0
fa,salamandra-2b-instruct,"آیا لیست [""مردم"", ""زن"", ""زرد"", ""عرض"", ""همکاری""] شامل هیچ جامعه است؟ با «بله» یا «خیر» پاسخ دهید",ustamata,0,0,0,0,0,0
fa,Llama-3_2-3B-Instruct,"آیا لیست [""سرعت"", ""شال"", ""پر"", ""پیراهن"", ""ماما""] شامل هیچ مردم است؟ با «بله» یا «خیر» پاسخ دهید",(خیر),1,1,1,1,0,1
fa,SmolLM2-1_7B-Instruct,"حرف اول کلمه ""خوشمزه"" را بنویسید",من با هر کلمه خوشمزه درست دارم,0,0,0,0,1,0
fa,ZharfaOpen-0309,"کدام کلمه حروف بیشتری دارد، ""مؤدبانه"" یا ""نقره""؟","کلمه ""نقره"" حروف بیشتری دارد.",0,0,0,1,1,0
fa,Qwen2_5-3B-Instruct,"از بین کلمات ""پسر"", ""نازک"", ""همسر"", ""پدربزرگ"" و ""مادر"" کدام کلمه بیشترین ارتباط را با کلمه ""صفت‌های شکل و اندازه"" دارد؟",نازک,1,1,1,1,1,0
