word,homophone,semantic1,semantic2,easy1,easy2
قضا,غذا,حکم,داد,ساعت,مداد
خوار,خار,پست,حقیر,کتاب,باران
خان,خوان,رئیس,سرور,پنجره,کفش
خواست,خاست,طلب,آرزو,خیابان,سیب
خویش,خیش,خود,فامیل,موز,بالش
خرد,خورد,کوچک,ریز,چراغ,دریا
حیات,حیاط,زندگی,هستی,لیوان,ابر
ثواب,صواب,پاداش,درستی,میز,دوچرخه
ارض,عرض,زمین,ملک ,خودکار,لباس
سد,صد,دیوار,مانع,چتر,کوه
اساس,اثاث,پایه,بنیاد,سگ,پنکه
راضی,رازی,خشنود,خرسند,قاشق,بادکنک
غریب,قریب,بیگانه,ناآشنا,هواپیما,نان
آری,عاری,بله,پاسخ,ساعت,درخت
پرتقال,پرتغال,انار,نارگیل,دفتر,آینه
صفر,سفر,یک,چهار,دکمه,گل
مامور,معمور,نگهبان,مسئول,فنجان,خیار
عمارت,امارت,ساختمان,بنا,کلاه,پرنده
قاضی,غازی,داور,حاکم,باران,کتری
قالب,غالب,شکل,فرم,شمع,جوراب
ثَری,سَرا,خاک,فراوانی,هندوانه,نقشه
آجل,عاجل,آینده,بعد,نردبان,لیمو
آسی,عاصی,اندوهگین,غمگین,پاک‌,کمد
ابارت,عبارت,اصلاح,کشت,پروانه,قندان
اسار,عثار,اسیر,گرفتن,قابلمه,سوت
اوان,عوان,وقت,هنگام,سنجاق,آدامس
ارب,عرب,مقصود,هدف,مگنت,کاشی
عرضه,ارزه,ارائه,اظهار,بالکن,تیله
اروس,عروس,همتا,مانند,قهوه,پاپیون
اثیر,اسیر,عالی,برتر,پادری,انبردست
اقرب,عقرب,نزدیک‌تر,قریب‌تر,قوری,پازل
الم,علم,درد,رنج,جعبه,سکه
علیم,الیم,دانا,آگاه,بالشتک,ماژیک
اهوال,احوال,ترس ,وحشت,ترازو,لیوان
احمر,اهمر,سرخ,قرمز,‌پنبه,‌شن
باغی,باقی,سرکش,نافرمان,ملاقه,نقاب
ثمر,سمر,میوه,حاصل,گیره,مطالعه
ثوب,صوب,جامه,لباس,قندان,کابل
سوره,ثوره,شدت,تندی,آلبوم,قلاب
بحر,بهر,دریا,اقیانوس,مسواک,پتو
تاب,طاب,پیچ,خم,خط‌کش,فنجان
حار,هار,گرم,سوزان,پتوبرقی,دف
حیات,حیات,زندگی,زیست,بشقاب,کلید
حراست,حراثت,نگهبانی,پاسداری,دندان,لب
نثر,نصر,متن,غیرشعر,چمدان,لیوان
قدر,غدر,اندازه,ارزش,‌دیجیتال,نقشه
حرم,هرم,خانه ,اندرون,باد,گلدان
شست,شصت,انگشت,دست,آینه,صابون
صلاح,سلاح,اصلاح,درستی,فرش,کمد
مسطور,مستور,نوشته,مکتوب,کابل,قندان
نصل,نسل,تیغه,تیز,گوشی,"پازل	"
منصور,منثور,پیروز,موفق,"تیله	",دف
فاطر,فاتر,آفریننده,خالق,"لیمو	",جامدادی
قالی,غالی,فرش,قالیچه,"نعلبکی	","ماژیک	"
صور,سور,شیپور,صدا,آدامس,"ماتم	"
ماهی,ماحی,جانور,دریایی,پنکه,دف
گذاردن,گزاردن,جادادن,نهادن,نعلبکی,چنگال
قدیر,غدیر,توانا,قوی,قابلمه,چای
طابع,تابع,پیرو,مطیع,"کلاغ	",دف
ضلالت,ذلالت,گمراهی,انحراف,سایه,دایی
صور,سور,شیپور,صدا,سبک,تصویر
قار,غار,قیر,قطران,کهن‌,عدد
