word,homophone,semantic1,semantic2,easy1,easy2
aço,asso,mesa,criatura,lama,sal
acento,assento,couve,verde,peixe,saxofone
sessão,seção,patins,lagarto,supermercado,preço
cela,sela,handebol,laranja,gato,caracol
cem,sem,corpo,fantasia,redução,economia
cheque,xeque,milímetro,aeroporto,metal,selva
cinto,sinto,comissão,aeroporto,amiga,clarinete
ouve,houve,gari,sábado,valor,namorado
coser,cozer,serviço,tarifa,grama,medida
concerto,conserto,altura,sobrinho,grama,humano
ascender,acender,metal,preço,terror,cargo
serrar,cerrar,rio,probabilidade,município,seca
cocho,coxo,vila,preto,grama,praia
intercessão,interseção,economia,gelo,bisneto,carpinteiro
ruço,russo,sexta-feira,sinuca,rota,cintura
tacha,taxa,natação,mililitro,adulto,supermercado
tachar,taxar,direito,roupa,romance,transação
passo,paço,pimentão,quantidade,redução,determinante
censual,sensual,lago,olho,grama,chumbo
estreme,extreme,bateria,borboleta,osso,alcachofra
caçar,cassar,saco,vestuário,brócolis,carteiro
desconcertado,desconsertado,costas,domingo,avalanche,aipo
chá,xá,adjetivo,terremoto,escola,patins
chácara,xácara,espécie,criatura,alcachofra,quarta-feira
apressar,apreçar,conhecido,terça-feira,reprodução,sábado
mal,mau,morte,realidade,joalheria,saco
censo,senso,fogo,galinha,musical,contrabaixo
espectador,expectador,criatura,morte,milímetro,sunga
cesta,sexta,rã,camarão,cadeira,demanda
estático,extático,joalheria,medida,clarinete,vôlei
incipiente,insipiente,pepino,quilo,basquete,artista
espiar,expiar,fantasia,adulta,decreto,guitarra
incerto,inserto,mercado,lavabo,conjunção,inundação
laço,lasso,avô,demanda,saxofone,espécie
arroxar,arrochar,traça,preposição,senhora,domingo
área,ária,bicicleta,mochila,pronome,minoria
acessório,assessório,cinza,idoso,bebê,fogo
calda,cauda,democracia,sobrinho,pardal,bolso
celeiro,seleiro,amiga,terça-feira,furadeira,homem
cerração,serração,corda,largura,organização,suspense
cervo,servo,monte,liberdade,metal,terremoto
cidra,sidra,furacão,terça-feira,nariz,vida
cinta,sinta,mochila,vida,cabo,vermelho
concílio,consílio,mergulho,gravata,cama,aparelho
empoçar,empossar,piano,romance,pimentão,casa
esperto,experto,roxo,idosa,avalanche,handebol
espirar,expirar,tornado,monte,namorado,supermercado
esplanada,explanada,cor,família,roupa,incêndio
esterno,externo,cor,comprimento,favas,violão
estirpe,extirpe,verde,sábado,esgrima,valor
estrato,extrato,amarelo,romance,cérebro,cabelo
estremado,extremado,desenvolvimento,câmera,maioria,substantivo
intenção,intensão,pássaro,dinheiro,saco,musical
profetisa,profetiza,comédia,tsunami,gorro,vermelho
cerva,serva,crescimento,província,espécie,nariz
vez,vês,pai,patinação,tornado,seca
viagem,viajem,tsunami,natação,amigo,agulha
cegar,segar,furadeira,adolescente,hóquei,azul
acerto,asserto,zíper,ginástica,leão,comédia
bucheiro,buxeiro,reprodução,inundação,barata,pássaro
céptico,séptico,skate,praia,gás,azul
esotérico,exotérico,skate,câmera,medida,terça-feira
arrear,arriar,trem,casa,parceiro,melhoria
azar,asar,cueca,lavabo,cadeira,avenida
auto,alto,cadarço,quarta-feira,clarinete,segunda-feira
az,ás,memória,congresso,criatura,capital
calção,caução,alho-poró,cabelo,bunda,abdômen
era,hera,camarão,agulha,nascimento,caracol
abril,abriu,saxofone,porco,sucesso,homem
tau,tal,homem,janela,nascimento,idosa
terço,terso,sexta-feira,enchente,água,sexta-feira
