index,sentence
1,خودم را بریدم.
2,خلاصهای از این داستان را بنویسید.
3,آزاد ماهیها برای تخم ریزی به بالای رود خانه میروند.
4,تشک مهمان
5,افسانهی دلاوریهای جلالالدین خوارزمشاهی
6,در شهر گشتن
7,خبرنگار رادیو
8,اشکال تنفسی
9,اینقدر بدگمان نباش، همهی شاگردان از تو بیزار نیستند!
10,با همهی وجود تلاش کردند تا راضیش کنند.
11,الغای بردگی در امریکا
12,با لحنی رسمی به ما خوشامد گفت.
13,استدلالهای او به سود سوسیالیستها سوگیری شده بود.
14,آنها بودجهی راهسازی را هپرو کردند.
15,آخرین کتاب او
16,انسان دوستی او در شیراز معروف است.
17,خبر آورد که اربابش در حال نزع بود.
18,بدون پشتیبانی تودهی مردم اصلاحات غیر ممکن است.
19,برقزا، مولد برق
20,تب نشانهی بیماری است.
21,بوی بد متصاعد از باتلاق
22,جعبه را با ورقهی پلاستیکی پوشانده بودند.
23,به حضار اعلام کرد که بزودی ازدواج خواهد کرد.
24,پلیس از یکی از زندانیان به عنوان خبر کش استفاده کرد.
25,پزشک پک ممتدی به پیپ خود زد.
26,او در ظاهر آرام به نظر میرسد.
27,تیم فوتبال با انضباط
28,تسلیم فشار شدن
29,او زمینهای خود را به کلیسا بخشید.
30,چندین سال است که مهری در شیکاگو طبابت میکند.
31,او تنها کسی است که به او اعتماد دارم.
32,جستار آنان دربارهی محسنات نسبی هنر امروزی و هنر باستانی
33,برای کار کردن جاکم دارم.
34,به واسطهی شرایط جوی نامساعد...
35,جناحهای افراطی چپ و راست حزب
36,به درخواستنامههای عضویت رسیدگی کردن
37,برای امرار معاش تلاش کردن
38,پرپشتی ابروهای او بچهها را به خنده آورد.
39,او با مکر به قلب مرد جوان راه یافت.
40,پشم حیوان یا پرز پارچه را با رد کردن از روی شعله میسوزانند.
41,پیرمردان روی نیمکتهای پارک نشسته بودند.
42,او داستان رمان خود را با مهارت پرداخت کرده است.
43,پیمان دستان خود را روی نرده گذاشت و از روی آن پرید.
44,او دلارهای اضافی را اندوخت.
45,او جوانمردتر از آن بود که از خانمها بخواهد سهم خود را بپردازند.
46,پیروزی قاطع
47,او تیکهی خوبی است.
48,برق مثبت
49,او بهطور الله بختی یک تمبر گرانبها پیدا کرد.
50,او را به آدم کشی متهم کردند.
51,او بدون جنب خوردن بیحرکت ایستاد.
52,برگرداندن پلکهای چشم
53,بستنی دوست ندارم.
54,او سرپرست امور مالی شرکت است.
55,تملق خوشایند
56,تنگ شدگی در رگ
57,جرم آتش افروزی
58,او جواهرات دزدی میفروشد.
59,تمام مدت خوابید.
60,به عضویت باشگاه درآوردن
61,او در عالم خواب و خیال زندگی میکند.
62,او دختر یکی از روستاییان را از راه به در کرد.
63,او به کانادا کوچ کرد.
64,راهنمای سهمی
