language,model,input,prediction,regex_scorer,human_label
en,Qwen2_5-3B-Instruct,"Are all the words ""armchair"", ""chair"", ""bed"", ""sofa"", and ""desk"" types of furniture? Answer either ""yes"" or ""no"".",yes,1,1
en,Qwen2_5-1_5B-Instruct,"In the sentence ""She fell in love"", which word immediately precedes the word ""in""?",^,0,0
en,salamandra-2b-instruct,"From the numbers 864 and 400, write the smaller number:",The smaller number is 400.,1,1
en,gemma-3-1b,"Which word is shorter, ""fried"" or ""around""?",“Fried” is shorter.,0,1
en,Llama-3_2-3B-Instruct,"What is the word most related to the word ""vehicles"" from the words ""peach"", ""bus"", ""watermelon"", ""lemon"", and ""pineapple""?","The word most related to ""vehicles"" from the given options is ""bus"".",1,1
en,Qwen2_5-1_5B-Instruct,"Which is a homophone of the word ""sensor"", ""censor"" or ""detector""?","The homophone of the word ""sensor"" is ""siren"".",0,0
en,gemma-3-4b,"Of the words ""screen"" and ""rat"", which word comes first alphabetically?",Screen,0,0
en,gemma-3-1b,"Of the words ""crop"" and ""plane"", which one rhymes with ""champagne""?",Plane,1,1
en,Llama-3_2-3B-Instruct,"Do any of the words ""desk"", ""bookcase"", ""jeans"", ""pig"", and ""jacket"" represent furniture? Answer either ""yes"" or ""no"".",(desk and bookcase),0,1
en,SmolLM2-360M-Instruct,"Do any of the words ""socks"", ""lemon"", ""pig"", ""watermelon"", and ""chicken"" represent animals? Answer either ""yes"" or ""no"".",.,0,0
en,EuroLLM-1_7B-Instruct,"Do the words ""jeans"", ""shirt"", ""shorts"", ""socks"", and ""strawberry"" all represent items of clothing? Answer either ""yes"" or ""no"".","Yes, the words ""jeans"", ""shirt"", ""shorts"", ""socks"", and ""strawberry"" all represent items of clothing.",0,0
en,gemma-3-4b,"Of the two words ""blew"" and ""red"", which one sounds more like ""blue""?","Red. 

They share a similar vowel sound.",0,0
en,Qwen2_5-3B-Instruct,"Of the words ""deep"" and ""upset"", which word comes first alphabetically?",Deep,1,1
en,Llama-3_1-8B-Instruct,"Which word is longer, ""to"" or ""jeans""?","""Jeans"" is longer than ""to"".",1,1
en,ZharfaOpen-0309,"Which word rhymes with the word ""rain"", ""complain"" or ""chef""?","The word that rhymes with ""rain"" is ""dain"". The word that rhymes with ""complain"" is ""pain"".",0,0
en,Llama-3_1-8B-Instruct,"Write a word using the letter ""m"":",Moon.,1,1
en,Llama-3_2-3B-Instruct,"Of the words ""remove"" and ""rich"", which one rhymes with ""switch""?","(remove) rhymes with ""switch"".",0,0
en,ALLaM-7B-Instruct-preview,"Are all the words ""pants"", ""skirt"", ""dress"", ""couch"", and ""shorts"" types of clothing? Answer either ""yes"" or ""no"".",Yes,0,0
en,gemma-3-4b,"Does the list [""skirt"", ""sweater"", ""dress"", ""jeans"", ""shorts""] contain only items of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,ZharfaOpen-0309,"Write a word whose last letter is ""g"":",گربه,0,0
en,Qwen2_5-3B-Instruct,"Does the list [""pants"", ""armchair"", ""sofa"", ""couch"", ""cat""] contain any vehicles? Answer either ""yes"" or ""no"".","sno
No",0,1
en,gemma-3-1b,"Does the list [""apple"", ""shirt"", ""jeans"", ""fish"", ""car""] contain any items of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,SmolLM2-360M-Instruct,"Which is a rhyme of the word ""allow"", ""how"" or ""railroad""?",.,0,0
en,Llama-3_1-8B-Instruct,"Does the list [""melon"", ""tractor"", ""socks"", ""bookcase"", ""motorcycle""] contain any vehicles? Answer either ""yes"" or ""no"".","in the list [""melon"", ""tractor"", ""socks"", ""bookcase"", ""motorcycle""] contains vehicles.",0,0
en,ALLaM-7B-Instruct-preview,"Write a sentence whose first word is ""interviews"":",Interviews reveal key insights during the hiring process.,1,1
en,salamandra-2b-instruct,"In an alphabetical order, which word comes first, ""lend"" or ""short""?",ustamata,0,0
en,EuroLLM-1_7B-Instruct,"What is the word most related to the word ""clothes"" from the words ""coat"", ""bed"", ""desk"", ""chair"", and ""bookcase""?","The word most related to the word ""clothes"" from the words ""coat"", ""bed"", ""desk"", ""chair"", and ""bookcase",0,0
en,SmolLM2-1_7B-Instruct,"Of the words ""strong"" and ""often"" which one has more letters?",at,0,0
en,Llama-3_2-3B-Instruct,"Do any of the words ""socks"", ""chicken"", ""rabbit"", ""cow"", and ""bed"" represent furniture? Answer either ""yes"" or ""no"".",(no),0,0
en,salamandra-2b-instruct,"Of the words ""skirt"", ""coat"", ""shorts"", ""bookcase"", and ""socks"", what is the word least associated with ""clothes""?","The word that comes to mind when thinking about clothes, 1) not wearing them or 2) being dirty is socks. So, in this case",0,0
en,ZharfaOpen-0309,"Which word comes right after ""the"" in the sentence ""Jason expected Medea to be treated by the doctor""?","The word that comes right after ""the"" in the sentence ""Jason expected Medea to be treated by the doctor"" is ""doctor"".",1,1
en,Qwen2_5-3B-Instruct,"Which word is longer, ""garlic"" or ""computer""?","""Computer"" is longer than ""garlic.""",1,1
en,ZharfaOpen-0309,"Which is a rhyme of the word ""wrong"", ""sail"" or ""along""?","""wrong"" is a rhyme of the word ""wrong"".",0,0
en,Qwen2_5-3B-Instruct,"In the sentence ""We investigated the area for bombs"", what is the first word?","suggested answer: The first word in the sentence ""We investigated the area for bombs"" is ""We"".",1,1
en,SmolLM2-1_7B-Instruct,"Write a sentence that contains the word ""insect"":","Insects are small creatures that live in the air, on land, or in water.",0,0
en,gemma-3-4b,"Of the numbers 525 and 898, which is bigger?",898 is bigger.,1,1
en,Llama-3_2-3B-Instruct,"Which word rhymes with the word ""land"", ""band"" or ""dull""?","(1) ""hand""
 (2) ""stand""
 (3) ""ball""",0,0
en,SmolLM2-1_7B-Instruct,"Write a sentence that doesn't contain the word ""supper"":","After dinner, we went to the park.",1,1
en,Llama-3_1-8B-Instruct,"What is the last word of the sentence ""He ought to leave his luggage here""?",in here,0,0
en,SmolLM2-360M-Instruct,"Write a word that starts with the letter ""f"":",Fiction,1,1
en,Llama-3_2-3B-Instruct,"Write a sentence without using the word ""comfortable"":","She sat in the plush armchair, feeling relaxed and at ease after a long, warm bath.",1,1
en,Llama-3_2-3B-Instruct,"Do the words ""banana"", ""lemon"", ""pineapple"", ""watermelon"", and ""peach"" all represent fruit? Answer either ""yes"" or ""no"".",(yes),1,1
en,Llama-3_1-8B-Instruct,"Are all the words ""armchair"", ""bookcase"", ""table"", ""bed"", and ""sofa"" types of furniture? Answer either ""yes"" or ""no"".",Yes.,1,1
en,EuroLLM-1_7B-Instruct,"In an alphabetical order, which of the words ""complete"" and ""believe"" comes first?","The word ""complete"" comes first in an alphabetical order.",0,0
en,SmolLM2-1_7B-Instruct,"Of the words ""railroad"" and ""opposite"", which word comes first alphabetically?","""opposite"" comes first alphabetically.",1,1
en,Llama-3_1-8B-Instruct,"In an alphabetical order, which word comes first, ""money"" or ""month""?","in alphabetical order, ""money"" comes before ""month"".",1,1
en,Qwen2_5-3B-Instruct,"Does the list [""jeans"", ""sweater"", ""desk"", ""dog"", ""pig""] contain any items of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,ZharfaOpen-0309,"Write a sentence not containing the word ""badminton"":",I enjoy playing tennis on weekends.,1,1
en,Qwen2_5-3B-Instruct,"In an alphabetical order, which of the words ""zoo"" and ""build"" comes first?","suggested in alphabetical order: ""build"", ""zoo"".",0,1
en,SmolLM2-1_7B-Instruct,"Which number is smaller, 487 or 110?",110 is smaller than 487.,1,1
en,gemma-3-4b,"In an alphabetical order, which of the words ""kilometer"" and ""jump"" comes first?",kilometer,0,0
en,Llama-3_2-3B-Instruct,"Write the first letter of the word ""office"":",O,1,1
en,Qwen2_5-1_5B-Instruct,"Which letter does the word ""single"" end with?",^,0,0
en,gemma-3-4b,"Does the list [""dog"", ""fish"", ""chicken"", ""bed"", ""pig""] contain only animals? Answer either ""yes"" or ""no"".",no,1,1
