language,task,model,example_id,input,prediction,regex_scorer,human_label,judge_label
fa,last_word,SmolLM2-1_7B-Instruct,23,"آخرین کلمهٔ جملهٔ ""به حضار اعلام کرد که بزودی ازدواج خواهد کرد"" چیست؟","آخرین کلمهٔ جملهٔ ""به حضار ا",0,0,
fa,word_containing,Llama-3_2-3B-Instruct,42,کلمه‌ای بنویس با استفاده از حرف «د»,دست,1,1,
fa,all_words_from_category_0_distractors,EuroLLM-1_7B-Instruct,1984,"آیا همه کلمات ""دریل"", ""اره"", ""قیچی"", ""داس"" و ""تراز"" نشان‌دهنده ابزارها هستند؟ به «بله» یا «خیر» پاسخ دهید.","بیشتری کلمات ""دریل"", ""اره"", ""قیچی"", ""داس"" و ""تراز""",0,0,
fa,first_alphabetically_far_first_letter,Llama-3_1-8B-Instruct,443,"به ترتیب حروف الفبا، کدام یک از کلمات ""لمسیدن"" و ""آشکار"" اول می‌آید؟","in ""لمسیدن"" حرف ""ل"" و در ""آشکار"" حرف ""ا"" اول می‌آید.",0,0,
fa,any_words_from_category_5_distractors,SmolLM2-1_7B-Instruct,101,"آیا هیچ یک از کلمات ""مقنعه"", ""سرمایه"", ""حجم"", ""ماجراجویی"" و ""کراوات"" از نوع زندگی هستند؟ با «بله» یا «خیر» پاسخ دهید.",بله.,0,0,
fa,sentence_not_containing,ZharfaOpen-0309,2002,"یک جمله بنویس که کلمه ""پیاده‌روی"" را نداشته باشد",امروز برای تمرین کردن پیاده‌روی,0,0,
fa,first_letter,gemma-3-4b,997,"کلمه ""کوهستان"" با کدام حرف شروع می‌شود؟",ک,1,1,
fa,first_alphabetically_different_first_letter,ZharfaOpen-0309,816,"به ترتیب حروف الفبا، کدام یک از کلمات ""عبا"" و ""خوشحال"" اول می‌آید؟",خوشحال,1,1,
fa,less_letters,SmolLM2-360M-Instruct,1721,"کدام کلمه کوتاه‌تر است، ""کاهش"" یا ""لغزیدن""؟",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,any_words_from_category_4_distractors,salamandra-2b-instruct,1553,"آیا هیچ یک از کلمات ""اتو"", ""سالمند"", ""استودیو"", ""نظام"" و ""صفت"" نشان دهنده دسته‌های دستوری هستند؟ با «بله» یا «خیر» پاسخ دهید.",ustamata,0,0,
