change,word,homophone,semantic1,semantic2,easy1,easy2
anːo,anno,hanno,pace,sostituire,grammo,attitudine
a,a,ha,aspro,prima,solo,equitazione
ai,ai,hai,postino,traffico,inizialmente,raccogliere
la,la,là,braccio,elefante,morte,serpente
li,li,lì,caffetteria,dottore,carrozza,signora
di,di,dì,apparire,estrarre,afferrare,nuova
da,da,dà,porro,piede,ministro,incendio
ke,che,ché,alzare,gran,falegname,tonno
t͡ʃeko,cieco,ceco,fresco,scorretto,giornalista,larghezza
t͡ʃeka,cieca,ceca,infermiere,sindaco,stamattina,salotto
t͡ʃeki,ciechi,cechi,muovere,aggettivo,manuale,viale
t͡ʃeke,cieche,ceche,autorizzazione,martello,caso,sorella
kok,choc,shock,fragrante,incendio,nostro,manica
t͡ʃip,cip,chip,costa,scrivania,gradevole,sgradevole
sintoizmo,shintoismo,scintoismo,dito,desiderare,affatto,quattro
